Id	Description	Name	Icon	ListIcon	Desc	SlotType	ClassId
INT	STRING	STRING	STRING	STRING	STRING	INT	INT
#MAX_ID=4096;MAX_RECORD=4096;TableType=Hash;							
#ID	描述（程序不读）	名字	图标	列表图标	描述	槽位类型（1-6）	分类Id
1	角木蛟·一	角木蛟	StarIcon_17	StarIcon_17	中国神话中的二十八宿之一，可装备在符灵上，增强属性	1	1
2	角木蛟·二	角木蛟	StarIcon_17	StarIcon_17	中国神话中的二十八宿之一，可装备在符灵上，增强属性	2	1
3	角木蛟·三	角木蛟	StarIcon_17	StarIcon_17	中国神话中的二十八宿之一，可装备在符灵上，增强属性	3	1
4	角木蛟·四	角木蛟	StarIcon_17	StarIcon_17	中国神话中的二十八宿之一，可装备在符灵上，增强属性	4	1
5	角木蛟·五	角木蛟	StarIcon_17	StarIcon_17	中国神话中的二十八宿之一，可装备在符灵上，增强属性	5	1
6	角木蛟·六	角木蛟	StarIcon_17	StarIcon_17	中国神话中的二十八宿之一，可装备在符灵上，增强属性	6	1
7	亢金龙·一	亢金龙	StarIcon_11	StarIcon_11	中国神话中的二十八宿之一，可装备在符灵上，增强属性	1	2
8	亢金龙·二	亢金龙	StarIcon_11	StarIcon_11	中国神话中的二十八宿之一，可装备在符灵上，增强属性	2	2
9	亢金龙·三	亢金龙	StarIcon_11	StarIcon_11	中国神话中的二十八宿之一，可装备在符灵上，增强属性	3	2
10	亢金龙·四	亢金龙	StarIcon_11	StarIcon_11	中国神话中的二十八宿之一，可装备在符灵上，增强属性	4	2
11	亢金龙·五	亢金龙	StarIcon_11	StarIcon_11	中国神话中的二十八宿之一，可装备在符灵上，增强属性	5	2
12	亢金龙·六	亢金龙	StarIcon_11	StarIcon_11	中国神话中的二十八宿之一，可装备在符灵上，增强属性	6	2
13	氐土貉·一	氐土貉	StarIcon_14	StarIcon_14	中国神话中的二十八宿之一，可装备在符灵上，增强属性	1	3
14	氐土貉·二	氐土貉	StarIcon_14	StarIcon_14	中国神话中的二十八宿之一，可装备在符灵上，增强属性	2	3
15	氐土貉·三	氐土貉	StarIcon_14	StarIcon_14	中国神话中的二十八宿之一，可装备在符灵上，增强属性	3	3
16	氐土貉·四	氐土貉	StarIcon_14	StarIcon_14	中国神话中的二十八宿之一，可装备在符灵上，增强属性	4	3
17	氐土貉·五	氐土貉	StarIcon_14	StarIcon_14	中国神话中的二十八宿之一，可装备在符灵上，增强属性	5	3
18	氐土貉·六	氐土貉	StarIcon_14	StarIcon_14	中国神话中的二十八宿之一，可装备在符灵上，增强属性	6	3
19	尾火虎·一	尾火虎	StarIcon_04	StarIcon_04	中国神话中的二十八宿之一，可装备在符灵上，增强属性	1	4
20	尾火虎·二	尾火虎	StarIcon_04	StarIcon_04	中国神话中的二十八宿之一，可装备在符灵上，增强属性	2	4
21	尾火虎·三	尾火虎	StarIcon_04	StarIcon_04	中国神话中的二十八宿之一，可装备在符灵上，增强属性	3	4
22	尾火虎·四	尾火虎	StarIcon_04	StarIcon_04	中国神话中的二十八宿之一，可装备在符灵上，增强属性	4	4
23	尾火虎·五	尾火虎	StarIcon_04	StarIcon_04	中国神话中的二十八宿之一，可装备在符灵上，增强属性	5	4
24	尾火虎·六	尾火虎	StarIcon_04	StarIcon_04	中国神话中的二十八宿之一，可装备在符灵上，增强属性	6	4
25	箕水豹·一	箕水豹	StarIcon_16	StarIcon_16	中国神话中的二十八宿之一，可装备在符灵上，增强属性	1	5
26	箕水豹·二	箕水豹	StarIcon_16	StarIcon_16	中国神话中的二十八宿之一，可装备在符灵上，增强属性	2	5
27	箕水豹·三	箕水豹	StarIcon_16	StarIcon_16	中国神话中的二十八宿之一，可装备在符灵上，增强属性	3	5
28	箕水豹·四	箕水豹	StarIcon_16	StarIcon_16	中国神话中的二十八宿之一，可装备在符灵上，增强属性	4	5
29	箕水豹·五	箕水豹	StarIcon_16	StarIcon_16	中国神话中的二十八宿之一，可装备在符灵上，增强属性	5	5
30	箕水豹·六	箕水豹	StarIcon_16	StarIcon_16	中国神话中的二十八宿之一，可装备在符灵上，增强属性	6	5
31	井木犴·一	井木犴	StarIcon_13	StarIcon_13	中国神话中的二十八宿之一，可装备在符灵上，增强属性	1	6
32	井木犴·二	井木犴	StarIcon_13	StarIcon_13	中国神话中的二十八宿之一，可装备在符灵上，增强属性	2	6
33	井木犴·三	井木犴	StarIcon_13	StarIcon_13	中国神话中的二十八宿之一，可装备在符灵上，增强属性	3	6
34	井木犴·四	井木犴	StarIcon_13	StarIcon_13	中国神话中的二十八宿之一，可装备在符灵上，增强属性	4	6
35	井木犴·五	井木犴	StarIcon_13	StarIcon_13	中国神话中的二十八宿之一，可装备在符灵上，增强属性	5	6
36	井木犴·六	井木犴	StarIcon_13	StarIcon_13	中国神话中的二十八宿之一，可装备在符灵上，增强属性	6	6
37	鬼金羊·一	鬼金羊	StarIcon_15	StarIcon_15	中国神话中的二十八宿之一，可装备在符灵上，增强属性	1	7
38	鬼金羊·二	鬼金羊	StarIcon_15	StarIcon_15	中国神话中的二十八宿之一，可装备在符灵上，增强属性	2	7
39	鬼金羊·三	鬼金羊	StarIcon_15	StarIcon_15	中国神话中的二十八宿之一，可装备在符灵上，增强属性	3	7
40	鬼金羊·四	鬼金羊	StarIcon_15	StarIcon_15	中国神话中的二十八宿之一，可装备在符灵上，增强属性	4	7
41	鬼金羊·五	鬼金羊	StarIcon_15	StarIcon_15	中国神话中的二十八宿之一，可装备在符灵上，增强属性	5	7
42	鬼金羊·六	鬼金羊	StarIcon_15	StarIcon_15	中国神话中的二十八宿之一，可装备在符灵上，增强属性	6	7
43	柳土獐·一	柳土獐	StarIcon_12	StarIcon_12	中国神话中的二十八宿之一，可装备在符灵上，增强属性	1	8
44	柳土獐·二	柳土獐	StarIcon_12	StarIcon_12	中国神话中的二十八宿之一，可装备在符灵上，增强属性	2	8
45	柳土獐·三	柳土獐	StarIcon_12	StarIcon_12	中国神话中的二十八宿之一，可装备在符灵上，增强属性	3	8
46	柳土獐·四	柳土獐	StarIcon_12	StarIcon_12	中国神话中的二十八宿之一，可装备在符灵上，增强属性	4	8
47	柳土獐·五	柳土獐	StarIcon_12	StarIcon_12	中国神话中的二十八宿之一，可装备在符灵上，增强属性	5	8
48	柳土獐·六	柳土獐	StarIcon_12	StarIcon_12	中国神话中的二十八宿之一，可装备在符灵上，增强属性	6	8
49	翼火蛇·一	翼火蛇	StarIcon_02	StarIcon_02	中国神话中的二十八宿之一，可装备在符灵上，增强属性	1	9
50	翼火蛇·二	翼火蛇	StarIcon_02	StarIcon_02	中国神话中的二十八宿之一，可装备在符灵上，增强属性	2	9
51	翼火蛇·三	翼火蛇	StarIcon_02	StarIcon_02	中国神话中的二十八宿之一，可装备在符灵上，增强属性	3	9
52	翼火蛇·四	翼火蛇	StarIcon_02	StarIcon_02	中国神话中的二十八宿之一，可装备在符灵上，增强属性	4	9
53	翼火蛇·五	翼火蛇	StarIcon_02	StarIcon_02	中国神话中的二十八宿之一，可装备在符灵上，增强属性	5	9
54	翼火蛇·六	翼火蛇	StarIcon_02	StarIcon_02	中国神话中的二十八宿之一，可装备在符灵上，增强属性	6	9
55	轸水蚓·一	轸水蚓	StarIcon_01	StarIcon_01	中国神话中的二十八宿之一，可装备在符灵上，增强属性	1	10
56	轸水蚓·二	轸水蚓	StarIcon_01	StarIcon_01	中国神话中的二十八宿之一，可装备在符灵上，增强属性	2	10
57	轸水蚓·三	轸水蚓	StarIcon_01	StarIcon_01	中国神话中的二十八宿之一，可装备在符灵上，增强属性	3	10
58	轸水蚓·四	轸水蚓	StarIcon_01	StarIcon_01	中国神话中的二十八宿之一，可装备在符灵上，增强属性	4	10
59	轸水蚓·五	轸水蚓	StarIcon_01	StarIcon_01	中国神话中的二十八宿之一，可装备在符灵上，增强属性	5	10
60	轸水蚓·六	轸水蚓	StarIcon_01	StarIcon_01	中国神话中的二十八宿之一，可装备在符灵上，增强属性	6	10
61	奎木狼·一	奎木狼	StarIcon_09	StarIcon_09	中国神话中的二十八宿之一，可装备在符灵上，增强属性	1	11
62	奎木狼·二	奎木狼	StarIcon_09	StarIcon_09	中国神话中的二十八宿之一，可装备在符灵上，增强属性	2	11
63	奎木狼·三	奎木狼	StarIcon_09	StarIcon_09	中国神话中的二十八宿之一，可装备在符灵上，增强属性	3	11
64	奎木狼·四	奎木狼	StarIcon_09	StarIcon_09	中国神话中的二十八宿之一，可装备在符灵上，增强属性	4	11
65	奎木狼·五	奎木狼	StarIcon_09	StarIcon_09	中国神话中的二十八宿之一，可装备在符灵上，增强属性	5	11
66	奎木狼·六	奎木狼	StarIcon_09	StarIcon_09	中国神话中的二十八宿之一，可装备在符灵上，增强属性	6	11
67	娄金狗·一	娄金狗	StarIcon_07	StarIcon_07	中国神话中的二十八宿之一，可装备在符灵上，增强属性	1	12
68	娄金狗·二	娄金狗	StarIcon_07	StarIcon_07	中国神话中的二十八宿之一，可装备在符灵上，增强属性	2	12
69	娄金狗·三	娄金狗	StarIcon_07	StarIcon_07	中国神话中的二十八宿之一，可装备在符灵上，增强属性	3	12
70	娄金狗·四	娄金狗	StarIcon_07	StarIcon_07	中国神话中的二十八宿之一，可装备在符灵上，增强属性	4	12
71	娄金狗·五	娄金狗	StarIcon_07	StarIcon_07	中国神话中的二十八宿之一，可装备在符灵上，增强属性	5	12
72	娄金狗·六	娄金狗	StarIcon_07	StarIcon_07	中国神话中的二十八宿之一，可装备在符灵上，增强属性	6	12
73	胃土雉·一	胃土雉	StarIcon_03	StarIcon_03	中国神话中的二十八宿之一，可装备在符灵上，增强属性	1	13
74	胃土雉·二	胃土雉	StarIcon_03	StarIcon_03	中国神话中的二十八宿之一，可装备在符灵上，增强属性	2	13
75	胃土雉·三	胃土雉	StarIcon_03	StarIcon_03	中国神话中的二十八宿之一，可装备在符灵上，增强属性	3	13
76	胃土雉·四	胃土雉	StarIcon_03	StarIcon_03	中国神话中的二十八宿之一，可装备在符灵上，增强属性	4	13
77	胃土雉·五	胃土雉	StarIcon_03	StarIcon_03	中国神话中的二十八宿之一，可装备在符灵上，增强属性	5	13
78	胃土雉·六	胃土雉	StarIcon_03	StarIcon_03	中国神话中的二十八宿之一，可装备在符灵上，增强属性	6	13
79	觜火猴·一	觜火猴	StarIcon_05	StarIcon_05	中国神话中的二十八宿之一，可装备在符灵上，增强属性	1	14
80	觜火猴·二	觜火猴	StarIcon_05	StarIcon_05	中国神话中的二十八宿之一，可装备在符灵上，增强属性	2	14
81	觜火猴·三	觜火猴	StarIcon_05	StarIcon_05	中国神话中的二十八宿之一，可装备在符灵上，增强属性	3	14
82	觜火猴·四	觜火猴	StarIcon_05	StarIcon_05	中国神话中的二十八宿之一，可装备在符灵上，增强属性	4	14
83	觜火猴·五	觜火猴	StarIcon_05	StarIcon_05	中国神话中的二十八宿之一，可装备在符灵上，增强属性	5	14
