Id	Description	AttrRandom1	AttrRandom2	AttrRandom3	AttrRandom4	AttrRandom5	AttrRandom6
INT	STRING	INT	INT	INT	INT	INT	INT
#MAX_ID=4096;MAX_RECORD=128;TableType=Hash;							
#强化等级	描述（程序不读）	1星属性增长随机Id（对应QuartzAttrRandom表）	2星属性增长随机Id（对应QuartzAttrRandom表）	3星属性增长随机Id（对应QuartzAttrRandom表）	4星属性增长随机Id（对应QuartzAttrRandom表）	5星属性增长随机Id（对应QuartzAttrRandom表）	6星属性增长随机Id（对应QuartzAttrRandom表）
0	出生	1101	1201	1301	1401	1501	1601
1	强化+1	1102	1202	1302	1402	1502	1602
2	强化+2	1103	1203	1303	1403	1503	1603
3	强化+3	1104	1204	1304	1404	1504	1604
4	强化+4	1105	1205	1305	1405	1505	1605
5	强化+5	1105	1205	1305	1405	1505	1605
6	强化+6	1105	1205	1305	1405	1505	1605
7	强化+7	1105	1205	1305	1405	1505	1605
8	强化+8	1105	1205	1305	1405	1505	1605
9	强化+9	1105	1205	1305	1405	1505	1605
10	强化+10	1105	1205	1305	1405	1505	1605
11	强化+11	1105	1205	1305	1405	1505	1605
12	强化+12	1105	1205	1305	1405	1505	1605
13	强化+13	1105	1205	1305	1405	1505	1605
14	强化+14	1105	1205	1305	1405	1505	1605
15	强化+15	1105	1205	1305	1405	1505	1605
