Id	Description	StoneCount	NeedMoney1	NeedMoney2	NeedMoney3	NeedMoney4	NeedMoney5	NeedMoney6	HeroLevel
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=4096;MAX_RECORD=128;TableType=Hash;									
#强化等级	描述（程序不读）	需要强化石个数	1星花费金币	2星花费金币	3星花费金币	4星花费金币	5星花费金币	6星花费金币	主角等级限制
1	强化+1	1	100	140	185	240	300	450	1
2	强化+2	1	200	280	375	485	605	905	1
3	强化+3	1	300	420	565	730	910	1365	1
4	强化+4	1	500	700	945	1225	1530	2295	10
5	强化+5	1	800	1120	1510	1960	2450	3675	10
6	强化+6	2	1200	1680	2265	2940	3675	5510	10
7	强化+7	2	1600	2240	3020	3925	4905	7355	15
8	强化+8	2	2000	2800	3780	4910	6135	9200	15
9	强化+9	2	2400	3360	4535	5895	7365	11045	15
10	强化+10	3	2800	3920	5290	6875	8590	12885	20
11	强化+11	3	3250	4550	6140	7980	9975	14960	20
12	强化+12	4	3700	5180	6990	9085	11355	17030	20
13	强化+13	4	4200	5880	7935	10315	12890	19335	25
14	强化+14	4	4700	6580	8880	11540	14425	21635	25
15	强化+15	5	5200	7280	9825	12770	15960	23940	25
