Id	Description	MaxHPAddMin	MaxHPAddMax	MaxHPPercentMin	MaxHPPercentMax	MaxHPFinalMin	MaxHPFinalMax	AttackAddMin	AttackAddMax	AttackPercentMin	AttackPercentMax	AttackFinalMin	AttackFinalMax	DefenceAddMin	DefenceAddMax	DefencePercentMin	DefencePercentMax	DefenceFinalMin	DefenceFinalMax	SpeedAddMin	SpeedAddMax	SpeedPercentMin	SpeedPercentMax	SpeedFinalMin	SpeedFinalMax	CritChanceAddMin	CritChanceAddMax	CritEffectAddMin	CritEffectAddMax	ImpactChanceAddMin	ImpactChanceAddMax	ImpactResistAddMin	ImpactResistAddMax
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=4096;MAX_RECORD=4096;TableType=Hash;																																	
#Id	描述（程序不读）	最大血量最小值（所有区间左右都是闭区间）	最大血量最大值	最大血量百分比最小值x10000	最大血量百分比最大值x10000	最大血量最终百分比最小值x10000	最大血量最终百分比最大值x10000	攻击最小值	攻击最大值	攻击百分比最小值x10000	攻击百分比最大值x10000	攻击最终百分比最小值x10000	攻击最终百分比最大值x10000	防御最小值	防御最大值	防御百分比最小值x10000	防御百分比最大值x10000	防御最终百分比最小值x10000	防御最终百分比最大值x10000	速度最小值	速度最大值	速度百分比最小值x10000	速度百分比最大值x10000	速度最终百分比最小值x10000	速度最终百分比最大值x10000	暴击率最小值	暴击率最大值	暴击效果最小值	暴击效果最大值	效果命中最小值	效果命中最大值	效果抵抗最小值	效果抵抗最大值
101	1星主属性出生	60	60	100	100	0	0	4	4	100	100	0	0	3	3	100	100	0	0	1	1	0	0	0	0	100	100	200	200	100	100	100	100
102	1星主属性强化+1增量	15	15	100	100	0	0	1	1	100	100	0	0	1	1	100	100	0	0	1	1	0	0	0	0	100	100	100	100	100	100	100	100
103	1星主属性强化+2增量	15	15	100	100	0	0	1	1	100	100	0	0	1	1	100	100	0	0	1	1	0	0	0	0	100	100	100	100	100	100	100	100
104	1星主属性强化+3增量	15	15	100	100	0	0	1	1	100	100	0	0	1	1	100	100	0	0	1	1	0	0	0	0	100	100	100	100	100	100	100	100
105	1星主属性强化+4增量	15	15	100	100	0	0	1	1	100	100	0	0	1	1	100	100	0	0	1	1	0	0	0	0	100	100	100	100	100	100	100	100
106	1星主属性强化+5增量	15	15	100	100	0	0	1	1	100	100	0	0	1	1	100	100	0	0	1	1	0	0	0	0	100	100	100	100	100	100	100	100
107	1星主属性强化+6增量	15	15	100	100	0	0	1	1	100	100	0	0	1	1	100	100	0	0	1	1	0	0	0	0	100	100	100	100	100	100	100	100
108	1星主属性强化+7增量	15	15	100	100	0	0	1	1	100	100	0	0	1	1	100	100	0	0	1	1	0	0	0	0	100	100	100	100	100	100	100	100
109	1星主属性强化+8增量	15	15	100	100	0	0	1	1	100	100	0	0	1	1	100	100	0	0	1	1	0	0	0	0	100	100	100	100	100	100	100	100
110	1星主属性强化+9增量	15	15	100	100	0	0	1	1	100	100	0	0	1	1	100	100	0	0	1	1	0	0	0	0	100	100	100	100	100	100	100	100
111	1星主属性强化+10增量	15	15	100	100	0	0	1	1	100	100	0	0	1	1	100	100	0	0	1	1	0	0	0	0	100	100	100	100	100	100	100	100
112	1星主属性强化+11增量	15	15	100	100	0	0	1	1	100	100	0	0	1	1	100	100	0	0	1	1	0	0	0	0	100	100	100	100	100	100	100	100
113	1星主属性强化+12增量	15	15	100	100	0	0	1	1	100	100	0	0	1	1	100	100	0	0	1	1	0	0	0	0	100	100	100	100	100	100	100	100
114	1星主属性强化+13增量	15	15	100	100	0	0	1	1	100	100	0	0	1	1	100	100	0	0	1	1	0	0	0	0	100	100	100	100	100	100	100	100
115	1星主属性强化+14增量	15	15	100	100	0	0	1	1	100	100	0	0	1	1	100	100	0	0	1	1	0	0	0	0	100	100	100	100	100	100	100	100
116	1星主属性强化+15增量	45	45	320	320	0	0	3	3	320	320	0	0	1	1	320	320	0	0	3	3	0	0	0	0	320	320	320	320	320	320	320	320
201	2星主属性出生	90	90	200	200	0	0	6	6	200	200	0	0	5	5	200	200	0	0	2	2	0	0	0	0	200	200	300	300	200	200	200	200
202	2星主属性强化+1增量	30	30	100	100	0	0	2	2	100	100	0	0	1	1	100	100	0	0	1	1	0	0	0	0	100	100	200	200	100	100	100	100
203	2星主属性强化+2增量	30	30	100	100	0	0	2	2	100	100	0	0	2	2	100	100	0	0	1	1	0	0	0	0	100	100	200	200	100	100	100	100
204	2星主属性强化+3增量	30	30	100	100	0	0	2	2	100	100	0	0	1	1	100	100	0	0	1	1	0	0	0	0	100	100	200	200	100	100	100	100
205	2星主属性强化+4增量	30	30	100	100	0	0	2	2	100	100	0	0	2	2	100	100	0	0	1	1	0	0	0	0	100	100	200	200	100	100	100	100
206	2星主属性强化+5增量	30	30	100	100	0	0	2	2	100	100	0	0	1	1	100	100	0	0	1	1	0	0	0	0	100	100	200	200	100	100	100	100
207	2星主属性强化+6增量	30	30	100	100	0	0	2	2	100	100	0	0	2	2	100	100	0	0	1	1	0	0	0	0	100	100	200	200	100	100	100	100
208	2星主属性强化+7增量	30	30	100	100	0	0	2	2	100	100	0	0	1	1	100	100	0	0	1	1	0	0	0	0	100	100	200	200	100	100	100	100
209	2星主属性强化+8增量	30	30	100	100	0	0	2	2	100	100	0	0	2	2	100	100	0	0	1	1	0	0	0	0	100	100	200	200	100	100	100	100
210	2星主属性强化+9增量	30	30	100	100	0	0	2	2	100	100	0	0	1	1	100	100	0	0	1	1	0	0	0	0	100	100	200	200	100	100	100	100
211	2星主属性强化+10增量	30	30	100	100	0	0	2	2	100	100	0	0	2	2	100	100	0	0	1	1	0	0	0	0	100	100	200	200	100	100	100	100
212	2星主属性强化+11增量	30	30	100	100	0	0	2	2	100	100	0	0	1	1	100	100	0	0	1	1	0	0	0	0	100	100	200	200	100	100	100	100
