Id	Description	MaxHPAddMin	MaxHPAddMax	MaxHPPercentMin	MaxHPPercentMax	MaxHPFinalMin	MaxHPFinalMax	AttackAddMin	AttackAddMax	AttackPercentMin	AttackPercentMax	AttackFinalMin	AttackFinalMax	DefenceAddMin	DefenceAddMax	DefencePercentMin	DefencePercentMax	DefenceFinalMin	DefenceFinalMax	SpeedAddMin	SpeedAddMax	SpeedPercentMin	SpeedPercentMax	SpeedFinalMin	SpeedFinalMax	CritChanceAddMin	CritChanceAddMax	CritEffectAddMin	CritEffectAddMax	ImpactChanceAddMin	ImpactChanceAddMax	ImpactResistAddMin	ImpactResistAddMax
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=4096;MAX_RECORD=4096;TableType=Hash;																																	
#Id	描述（程序不读）	最大血量最小值（所有区间左右都是闭区间）	最大血量最大值	最大血量百分比最小值x10000	最大血量百分比最大值x10000	最大血量最终百分比最小值x10000	最大血量最终百分比最大值x10000	攻击最小值	攻击最大值	攻击百分比最小值x10000	攻击百分比最大值x10000	攻击最终百分比最小值x10000	攻击最终百分比最大值x10000	防御最小值	防御最大值	防御百分比最小值x10000	防御百分比最大值x10000	防御最终百分比最小值x10000	防御最终百分比最大值x10000	速度最小值	速度最大值	速度百分比最小值x10000	速度百分比最大值x10000	速度最终百分比最小值x10000	速度最终百分比最大值x10000	暴击率最小值	暴击率最大值	暴击效果最小值	暴击效果最大值	效果命中最小值	效果命中最大值	效果抵抗最小值	效果抵抗最大值
1101	1星副属性出生	45	45	300	300	0	0	3	3	300	300	0	0	3	3	300	300	0	0	3	3	0	0	0	0	300	300	300	300	300	300	300	300
1102	1星副属性强化+1增量	30	30	200	200	0	0	2	2	200	200	0	0	2	2	200	200	0	0	2	2	0	0	0	0	200	200	200	200	200	200	200	200
1103	1星副属性强化+2增量	30	30	200	200	0	0	2	2	200	200	0	0	2	2	200	200	0	0	2	2	0	0	0	0	200	200	200	200	200	200	200	200
1104	1星副属性强化+3增量	30	30	200	200	0	0	2	2	200	200	0	0	2	2	200	200	0	0	2	2	0	0	0	0	200	200	200	200	200	200	200	200
1105	1星副属性强化+4增量	30	30	200	200	0	0	2	2	200	200	0	0	2	2	200	200	0	0	2	2	0	0	0	0	200	200	200	200	200	200	200	200
1201	2星副属性出生	90	90	300	300	0	0	6	6	300	300	0	0	3	3	300	300	0	0	3	3	0	0	0	0	300	300	600	600	300	300	300	300
1202	2星副属性强化+1增量	60	60	200	200	0	0	4	4	200	200	0	0	2	2	200	200	0	0	2	2	0	0	0	0	200	200	400	400	200	200	200	200
1203	2星副属性强化+2增量	60	60	200	200	0	0	4	4	200	200	0	0	2	2	200	200	0	0	2	2	0	0	0	0	200	200	400	400	200	200	200	200
1204	2星副属性强化+3增量	60	60	200	200	0	0	4	4	200	200	0	0	2	2	200	200	0	0	2	2	0	0	0	0	200	200	400	400	200	200	200	200
1205	2星副属性强化+4增量	60	60	200	200	0	0	4	4	200	200	0	0	2	2	200	200	0	0	2	2	0	0	0	0	200	200	400	400	200	200	200	200
1301	3星副属性出生	135	135	600	600	0	0	9	9	600	600	0	0	6	6	600	600	0	0	3	3	0	0	0	0	600	600	675	675	600	600	600	600
1302	3星副属性强化+1增量	90	90	400	400	0	0	6	6	400	400	0	0	4	4	400	400	0	0	2	2	0	0	0	0	400	400	450	450	400	400	400	400
1303	3星副属性强化+2增量	90	90	400	400	0	0	6	6	400	400	0	0	4	4	400	400	0	0	2	2	0	0	0	0	400	400	450	450	400	400	400	400
1304	3星副属性强化+3增量	90	90	400	400	0	0	6	6	400	400	0	0	4	4	400	400	0	0	2	2	0	0	0	0	400	400	450	450	400	400	400	400
1305	3星副属性强化+4增量	90	90	400	400	0	0	6	6	400	400	0	0	4	4	400	400	0	0	2	2	0	0	0	0	400	400	450	450	400	400	400	400
1401	4星副属性出生	135	135	645	645	0	0	9	9	645	645	0	0	6	6	645	645	0	0	3	3	0	0	0	0	645	645	900	900	645	645	645	645
1402	4星副属性强化+1增量	90	90	430	430	0	0	6	6	430	430	0	0	4	4	430	430	0	0	2	2	0	0	0	0	430	430	600	600	430	430	430	430
1403	4星副属性强化+2增量	90	90	430	430	0	0	6	6	430	430	0	0	4	4	430	430	0	0	2	2	0	0	0	0	430	430	600	600	430	430	430	430
1404	4星副属性强化+3增量	90	90	430	430	0	0	6	6	430	430	0	0	4	4	430	430	0	0	2	2	0	0	0	0	430	430	600	600	430	430	430	430
1405	4星副属性强化+4增量	90	90	430	430	0	0	6	6	430	430	0	0	4	4	430	430	0	0	2	2	0	0	0	0	430	430	600	600	430	430	430	430
1501	5星副属性出生	180	180	735	735	0	0	12	12	735	735	0	0	9	9	735	735	0	0	6	6	0	0	0	0	735	735	999	999	735	735	735	735
1502	5星副属性强化+1增量	120	120	490	490	0	0	8	8	490	490	0	0	6	6	490	490	0	0	4	4	0	0	0	0	490	490	666	666	490	490	490	490
1503	5星副属性强化+2增量	120	120	490	490	0	0	8	8	490	490	0	0	6	6	490	490	0	0	4	4	0	0	0	0	490	490	666	666	490	490	490	490
1504	5星副属性强化+3增量	120	120	490	490	0	0	8	8	490	490	0	0	6	6	490	490	0	0	4	4	0	0	0	0	490	490	666	666	490	490	490	490
1505	5星副属性强化+4增量	120	120	490	490	0	0	8	8	490	490	0	0	6	6	490	490	0	0	4	4	0	0	0	0	490	490	666	666	490	490	490	490
1601	6星副属性出生	270	270	900	900	0	0	18	18	900	900	0	0	15	15	900	900	0	0	6	6	0	0	0	0	900	900	1200	1200	900	900	900	900
1602	6星副属性强化+1增量	180	180	600	600	0	0	12	12	600	600	0	0	9	9	600	600	0	0	4	4	0	0	0	0	600	600	800	800	600	600	600	600
1603	6星副属性强化+2增量	180	180	600	600	0	0	12	12	600	600	0	0	9	9	600	600	0	0	4	4	0	0	0	0	600	600	800	800	600	600	600	600
