Id	Desc	WorldName	WorldType	SelfIp	PortForClient	ServerThreadCount	DBThreadCount	HttpThreadCount	DBIP	DBPort	HttpIP	HttpPort	HttpServerFakeTokenCheckPort	HttpServerMidasPayPort	HttpServerIDIPPort	MySQLIP	MySQLPort	DataBaseName	DataBaseUser	DataBasePsw	MaxOnlinePlayingPlayer	MaxOnlineQueuingPlayer	TlogDIP	TlogDPort	TlogDBUser	TlogDBPsw	MsdkChannel	WorldIP	WorldPort	MidasFormalUrl	MidasTestUrl	SocialSpaceUrl	AreaId	PlatId	Partition
INT	STRING	STRING	INT	STRING	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	STRING	INT	STRING	STRING	STRING	INT	INT	STRING	INT	STRING	STRING	INT	STRING	INT	STRING	STRING	STRING	INT	INT	INT
#MAX_ID=69999;MAX_RECORD=70000;TableType=Hash;ProjectActive0=_WORLDSERVER_;ProjectActive1=_HTTPAGENT_;ProjectActive2=_DBAGENT_;																																			
#ID	程序不读	世界名称	世界类型（-1:合服废弃，0:普通世界，1:大世界）	自己ip	客户端连接端口	GameServer线程数量	DB线程数量	Http线程数量	DBAgent地址	DBAgent端口	Http地址	Http端口	HttpServer（自启Token验证）端口	WorldServer（Midas充值回调）端口	HttpServer（IDIP回调）端口	MySQL地址	MySQL端口	数据库名	数据库用户	数据库密码	最大在线人数	最大排队人数	MySQL地址	MySQL端口	数据库用户	数据库密码	Tencent 渠道 0-none 1-weixin 2-QQ	中心世界服IP	中心世界服端口号	米大师正式地址	米大师沙盒地址	个人空间网址	服务器：微信（1），手Q（2）	平台：IOS（0），安卓（1）	小区
1	程序自启	1世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_1	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	1
2	程序自启	2世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_2	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	2
3	程序自启	3世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_3	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	3
4	程序自启	4世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_4	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	4
5	程序自启	5世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_5	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	5
6	程序自启	6世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_6	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	6
7	程序自启	7世界	0	127.0.0.1	3341	72	21	4	127.0.0.1	3343	127.0.0.1	3344	3345	3346	3352	10.65.71.43	3306	carddb_7	root	xjlzxdbmm	220000	5000	10.68.14.10	3306	root	xjlzxdbmm	-1	127.0.0.1	5000	http://127.0.0.1	http://127.0.0.1	http://10.234.12.89/	1	0	7
