Id	Desc	Word
INT	STRING	STRING
#MAX_ID=44000;MAX_RECORD=44000;		
#ID	描述，策划维护	过滤词汇
1	毛泽东	毛泽东
2	江泽民	江泽民
3	江澤民	江澤民
4	胡锦涛	胡锦涛
5	胡錦濤	胡錦濤
6	炮打中宣部	炮打中宣部
7	焦国标	焦国标
8	焦國標	焦國標
9	六四	六四
10	天安门事件	天安门事件
11	天安門事件	天安門事件
12	北京之春	北京之春
13	八九风波	八九风波
14	八九風波	八九風波
15	八九事件	八九事件
16	八九运动	八九运动
17	八九運動	八九運動
18	新闻管制	新闻管制
19	新聞管制	新聞管制
20	舆论钳制	舆论钳制
21	輿論鉗制	輿論鉗制
22	动态网	动态网
23	動態網	動態網
24	自由之门	自由之门
25	自由之門	自由之門
26	大纪元	大纪元
27	大紀元	大紀元
28	人民报	人民报
29	人民報	人民報
30	博讯新闻	博讯新闻
31	博訊新聞	博訊新聞
32	明慧网	明慧网
33	明慧網	明慧網
34	燕玲论坛	燕玲论坛
35	燕玲論壇	燕玲論壇
36	希望之声	希望之声
37	希望之聲	希望之聲
38	新唐人	新唐人
39	宗教迫害	宗教迫害
40	全球公审	全球公审
41	全球公審	全球公審
42	真善忍	真善忍
43	法輪	法輪
44	轮子功	轮子功
45	輪子功	輪子功
46	洗脑班	洗脑班
47	洗腦班	洗腦班
48	610办公室	610办公室
49	610辦公室	610辦公室
50	鸡巴	鸡巴
51	雞巴	雞巴
52	肉缝	肉缝
53	肉縫	肉縫
54	肉棒	肉棒
55	淫水	淫水
56	肉壁	肉壁
57	肉棍	肉棍
58	八九学潮	八九学潮
59	八九學潮	八九學潮
60	“冰点”周刊	“冰点”周刊
61	“冰點”週刊	“冰點”週刊
62	天安门	天安门
63	天安門	天安門
64	共产党	共产党
65	共產黨	共產黨
66	帐号	帐号
67	帳號	帳號
68	法轮	法轮
69	法轮功	法轮功
70	法輪功	法輪功
71	张朝阳	张朝阳
72	張朝陽	張朝陽
73	GM	GM
74	系统	系统
75	系統	系統
76	系统管理员	系统管理员
77	系統管理員	系統管理員
78	管理员	管理员
79	管理員	管理員
80	系统邮件	系统邮件
81	系統郵件	系統郵件
82	系统的邮件	系统的邮件
83	系統的郵件	系統的郵件
84	系统消息	系统消息
85	系統消息	系統消息
86	系统的消息	系统的消息
87	系統的消息	系統的消息
88	GM邮件	GM邮件
89	GM郵件	GM郵件
90	隊伍	隊伍
91	中国	中国
92	中國	中國
93	习近平	习近平
94	習近平	習近平
95	李克强	李克强
96	李克強	李克強
97	刘延东	刘延东
98	劉延東	劉延東
99	杨洁篪	杨洁篪
100	楊潔篪	楊潔篪
101	乌云其木格	乌云其木格
102	烏雲其木格	烏雲其木格
103	廖晖	廖晖
104	廖暉	廖暉
105	梁光烈	梁光烈
106	张平	张平
107	張平	張平
108	韩启德	韩启德
109	韓啟德	韓啟德
110	杜青林	杜青林
111	马凯	马凯
112	馬凱	馬凱
113	周济	周济
114	周濟	周濟
115	阿沛·阿旺晋美	阿沛·阿旺晋美
116	阿沛·阿旺晉美	阿沛·阿旺晉美
117	汪歧山	汪歧山
118	孟建柱	孟建柱
119	万钢	万钢
120	萬鋼	萬鋼
121	王岐山	王岐山
122	帕巴拉·格列朗杰	帕巴拉·格列朗杰
123	帕巴拉·格列朗傑	帕巴拉·格列朗傑
124	戴秉国	戴秉国
125	戴秉國	戴秉國
126	李毅中	李毅中
127	周铁农	周铁农
128	周鐵農	周鐵農
129	马万祺	马万祺
130	馬萬祺	馬萬祺
131	杨晶	杨晶
132	楊晶	楊晶
133	李建国	李建国
134	李建國	李建國
135	白立忱	白立忱
136	耿惠昌	耿惠昌
137	司马义·铁力瓦尔地	司马义·铁力瓦尔地
138	司馬義·鐵力瓦爾地	司馬義·鐵力瓦爾地
139	陈奎元	陈奎元
140	陳奎元	陳奎元
141	马馼	马馼
142	馬馼	馬馼
143	蒋树声	蒋树声
144	蔣樹聲	蔣樹聲
145	阿不来提·阿不都热西提	阿不来提·阿不都热西提
146	阿不來提·阿不都熱西提	阿不來提·阿不都熱西提
147	李学举	李学举
148	李學舉	李學舉
149	陈昌智	陈昌智
150	陳昌智	陳昌智
151	李兆焯	李兆焯
152	吴爱英	吴爱英
153	吳愛英	吳愛英
154	严隽琪	严隽琪
155	嚴雋琪	嚴雋琪
156	黄孟复	黄孟复
