Id	Description	AwardType2_1	AwardID2_1	AwardCount2_1	AwardItemID2_1	AwardType2_2	AwardID2_2	AwardCount2_2	AwardItemID2_2	Award2StoryID	AwardType3_1	AwardID3_1	AwardCount3_1	AwardItemID3_1	AwardType3_2	AwardID3_2	AwardCount3_2	AwardItemID3_2	Award3StoryID	AwardType4_1	AwardID4_1	AwardCount4_1	AwardItemID4_1	AwardType4_2	AwardID4_2	AwardCount4_2	AwardItemID4_2	Award4StoryID	AnimationID	SoundID
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=1024;MAX_RECORD=1024;																														
#ID，对应CardID	描述（程序不读）	类型 0物品 1金钱 2元宝 3卡牌碎片	在类型表的ID 金钱和元宝填-1	数量	在ITEM表的ID	类型	在类型表的ID	数量	在ITEM表的ID	2级开启的StoryLineID	类型	在类型表的ID	数量	在ITEM表的ID	类型	3阶奖励2的ID	数量	在ITEM表的ID	3级开启的StoryLineID	类型	4阶奖励1的ID	数量	在ITEM表的ID	类型	4阶奖励2的ID	数量	在ITEM表的ID	4级开启的StoryLineID	动作ID	音效ID
10	素心	2	-1	30000	28	1	208	1	208	0	3	29	288	29	1	29	20	196	0	2	-1	3000	29	-1	-1	-1	-1	0	3	6000
11	张震元	2	-1	30000	28	1	208	1	208	1	3	-1	288	29	1	29	20	196	1	2	-1	3000	29	-1	-1	-1	-1	1	3	6001
12	怨灵	2	-1	30000	28	1	208	1	208	2	3	-1	288	29	1	29	20	196	2	2	-1	3000	29	-1	-1	-1	-1	2	3	10056
13	锦鲤	2	-1	30000	28	1	208	1	208	3	3	-1	288	29	1	29	20	196	3	2	-1	3000	29	-1	-1	-1	-1	3	3	10004
14	夜莺	2	-1	30000	28	1	208	1	208	4	3	-1	288	29	1	29	20	196	4	2	-1	3000	29	-1	-1	-1	-1	4	3	6006
15	小鲤鱼	2	-1	30000	28	1	208	1	208	5	3	-1	288	29	1	29	20	196	5	2	-1	3000	29	-1	-1	-1	-1	5	3	8104
16	穷奇	2	-1	30000	28	1	208	1	208	6	3	-1	288	29	1	29	20	196	6	2	-1	3000	29	-1	-1	-1	-1	6	3	10087
17	嫦娥	2	-1	30000	28	1	208	1	208	7	3	-1	288	29	1	29	20	196	7	2	-1	3000	29	-1	-1	-1	-1	7	3	8069
18	楚策	2	-1	30000	28	1	208	1	208	8	3	-1	288	29	1	29	20	196	8	2	-1	3000	29	-1	-1	-1	-1	8	3	-1
19	摇桃	2	-1	30000	28	1	208	1	208	9	3	-1	288	29	1	29	20	196	9	2	-1	3000	29	-1	-1	-1	-1	9	3	8103
20	白泽	2	-1	30000	28	1	208	1	208	10	3	-1	288	29	1	29	20	196	10	2	-1	3000	29	-1	-1	-1	-1	10	3	-1
21	筝	2	-1	30000	28	1	208	1	208	11	3	-1	288	29	1	29	20	196	11	2	-1	3000	29	-1	-1	-1	-1	11	3	8094
22	精卫	2	-1	30000	28	1	208	1	208	12	3	-1	288	29	1	29	20	196	12	2	-1	3000	29	-1	-1	-1	-1	12	3	-1
23	霓	2	-1	30000	28	1	208	1	208	13	3	-1	288	29	1	29	20	196	13	2	-1	3000	29	-1	-1	-1	-1	13	3	8071
24	虹	2	-1	30000	28	1	208	1	208	14	3	-1	288	29	1	29	20	196	14	2	-1	3000	29	-1	-1	-1	-1	14	3	8100
25	瓶灵	2	-1	30000	28	1	208	1	208	15	3	-1	288	29	1	29	20	196	15	2	-1	3000	29	-1	-1	-1	-1	15	3	-1
26	牙呲	2	-1	30000	28	1	208	1	208	16	3	-1	288	29	1	29	20	196	16	2	-1	3000	29	-1	-1	-1	-1	16	3	8086
27	毕方	2	-1	30000	28	1	208	1	208	17	3	-1	288	29	1	29	20	196	17	2	-1	3000	29	-1	-1	-1	-1	17	3	8111
28	蛟	2	-1	30000	28	1	208	1	208	-1	3	-1	288	29	1	29	20	196	-1	2	-1	3000	29	-1	-1	-1	-1	-1	3	8045
29	黎吻	2	-1	30000	28	1	208	1	208	18	3	-1	288	29	1	29	20	196	18	2	-1	3000	29	-1	-1	-1	-1	18	3	8098
30	英招	2	-1	30000	28	1	208	1	208	19	3	-1	288	29	1	29	20	196	19	2	-1	3000	29	-1	-1	-1	-1	19	3	8105
