Id	Description	Group1Name	Group1Pic	Group2Name	Style	GroupID_1	GroupID_2	GroupID_3	GroupID_4	AwardID_1	AwardCount_1	AwardID_2	AwardCount_2	AwardID_3	AwardCount_3	AwardID_4	AwardCount_4	AwardID_5	AwardCount_5
INT	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=4096;MAX_RECORD=4096;																			
#ID	描述（程序不读）	一级分类组合名称	一级分类组合图片	二级分类组合名称	所属的图鉴分类 0符灵，1物华，2星魂	所需符灵ID	所需符灵ID	所需符灵ID	所需符灵ID	奖励物品ID	数量	奖励物品ID	数量	奖励物品ID	数量	奖励物品ID	数量	奖励物品ID	数量
1		飞禽走兽	T_Collection_03	犬暖向日眠	0	31	32	38	-1	644	100	-1	-1	-1	1	-1	1	-1	1
2		飞禽走兽	T_Collection_03	力拔山河	0	94	72	30	-1	644	120	-1	-1	-1	1	-1	1	-1	1
3		飞禽走兽	T_Collection_03	鸢饱凌风飞	0	14	27	-1	-1	661	1	-1	-1	-1	1	-1	1	-1	1
4		飞禽走兽	T_Collection_03	地动山摇	0	65	-1	-1	-1	661	1	-1	-1	-1	1	-1	1	-1	1
5		人灵物精	T_Collection_02	妙笔生花	0	82	83	-1	-1	644	30	-1	-1	-1	1	-1	1	-1	1
6		人灵物精	T_Collection_02	天朗气清	0	23	24	55	-1	644	25	-1	-1	-1	1	-1	1	-1	1
7		人灵物精	T_Collection_02	丰收在即	0	58	44	-1	-1	644	20	661	5	-1	1	-1	1	-1	1
8		人灵物精	T_Collection_02	物情无巨细	0	33	47	48	-1	644	15	-1	-1	-1	1	-1	1	-1	1
9		人灵物精	T_Collection_02	自适固其常	0	25	21	87	-1	644	30	-1	-1	-1	1	-1	1	-1	1
10		人灵物精	T_Collection_02	月明星稀	0	17	35	-1	-1	661	5	644	100	-1	1	-1	1	-1	1
11		人灵物精	T_Collection_02	羌魂欲归	0	36	10	11	12	661	1	-1	-1	-1	1	-1	1	-1	1
12		地祇天神	T_Collection_04	地祇有灵	0	37	93	42	-1	644	200	-1	-1	-1	1	-1	1	-1	1
13		地祇天神	T_Collection_04	龙池柳色	0	29	26	59	-1	661	5	644	200	-1	1	-1	1	-1	1
14		地祇天神	T_Collection_04	云淡风轻	0	20	34	-1	-1	195	1	644	100	661	1	-1	1	-1	1
15		池鱼虫豸	T_Collection_05	鱼人一族	0	28	46	-1	-1	644	20	-1	-1	-1	1	-1	1	-1	1
16		池鱼虫豸	T_Collection_05	海角一隅	0	15	19	-1	-1	661	1	-1	-1	-1	1	-1	1	-1	1
17		大天狗	T_Collection_01	羽刃暴风	1	50	29	-1	-1	11	1	11	11	-1	1	-1	1	-1	1
18		妖刀	T_Collection_01	杀戮	1	29	30	-1	-1	11	1	11	11	-1	1	-1	1	-1	1
19		鸟姐	T_Collection_01	天翔鹤斩	1	37	-1	-1	-1	11	1	11	11	-1	1	-1	1	-1	1
20		犬神	T_Collection_01	心剑	1	30	-1	-1	-1	11	1	11	11	-1	1	-1	1	-1	1
21		荒	T_Collection_01	天罚	1	62	-1	-1	-1	11	1	11	11	-1	1	-1	1	-1	1
22		茨木	T_Collection_01	地狱之手	1	50	-1	-1	-1	11	1	11	11	-1	1	-1	1	-1	1
23		苍云	T_Collection_01	盾飞	2	15	12	-1	-1	11	1	11	11	-1	1	-1	1	-1	1
24		苍云	T_Collection_01	斩刀	2	19	-1	-1	-1	11	1	11	11	-1	1	-1	1	-1	1
25		苍云	T_Collection_01	盾立	2	1	-1	-1	-1	11	1	11	11	-1	1	-1	1	-1	1
