  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:01 /sbin/init splash
    2 ?        S      0:00 [kthreadd]
    4 ?        S<     0:00 [kworker/0:0H]
    6 ?        S<     0:00 [mm_percpu_wq]
    7 ?        S      0:00 [ksoftirqd/0]
    8 ?        S      0:01 [rcu_sched]
    9 ?        S      0:00 [rcu_bh]
   10 ?        S      0:00 [migration/0]
   11 ?        S      0:00 [watchdog/0]
   12 ?        S      0:00 [cpuhp/0]
   13 ?        S      0:00 [cpuhp/1]
   14 ?        S      0:00 [watchdog/1]
   15 ?        S      0:00 [migration/1]
   16 ?        S      0:00 [ksoftirqd/1]
   18 ?        S<     0:00 [kworker/1:0H]
   19 ?        S      0:00 [cpuhp/2]
   20 ?        S      0:00 [watchdog/2]
   21 ?        S      0:00 [migration/2]
   22 ?        S      0:00 [ksoftirqd/2]
   24 ?        S<     0:00 [kworker/2:0H]
   25 ?        S      0:00 [cpuhp/3]
   26 ?        S      0:00 [watchdog/3]
   27 ?        S      0:00 [migration/3]
   28 ?        S      0:00 [ksoftirqd/3]
   30 ?        S<     0:00 [kworker/3:0H]
   31 ?        S      0:00 [cpuhp/4]
   32 ?        S      0:00 [watchdog/4]
   33 ?        S      0:00 [migration/4]
   34 ?        S      0:00 [ksoftirqd/4]
   35 ?        S      0:00 [kworker/4:0]
   36 ?        S<     0:00 [kworker/4:0H]
   37 ?        S      0:00 [cpuhp/5]
   38 ?        S      0:00 [watchdog/5]
   39 ?        S      0:00 [migration/5]
   40 ?        S      0:00 [ksoftirqd/5]
   42 ?        S<     0:00 [kworker/5:0H]
   43 ?        S      0:00 [cpuhp/6]
   44 ?        S      0:00 [watchdog/6]
   45 ?        S      0:00 [migration/6]
   46 ?        S      0:00 [ksoftirqd/6]
   48 ?        S<     0:00 [kworker/6:0H]
   49 ?        S      0:00 [cpuhp/7]
   50 ?        S      0:00 [watchdog/7]
   51 ?        S      0:00 [migration/7]
   52 ?        S      0:00 [ksoftirqd/7]
   54 ?        S<     0:00 [kworker/7:0H]
   55 ?        S      0:00 [kdevtmpfs]
   56 ?        S<     0:00 [netns]
   58 ?        S      0:00 [kworker/2:1]
   60 ?        S      0:00 [khungtaskd]
   61 ?        S      0:00 [oom_reaper]
   62 ?        S<     0:00 [writeback]
   63 ?        S      0:00 [kcompactd0]
   64 ?        SN     0:00 [ksmd]
   65 ?        SN     0:00 [khugepaged]
   66 ?        S<     0:00 [crypto]
   67 ?        S<     0:00 [kintegrityd]
   68 ?        S<     0:00 [kblockd]
   69 ?        S      0:00 [kworker/6:1]
   70 ?        S<     0:00 [ata_sff]
   71 ?        S<     0:00 [md]
   72 ?        S<     0:00 [edac-poller]
   73 ?        S<     0:00 [devfreq_wq]
   74 ?        S<     0:00 [watchdogd]
   76 ?        S      0:00 [kworker/1:1]
   77 ?        S      0:00 [kworker/3:1]
   78 ?        S      0:00 [kworker/5:1]
   79 ?        S      0:00 [kworker/7:1]
   81 ?        S      0:00 [kauditd]
   82 ?        S      0:00 [kswapd0]
   83 ?        S      0:00 [ecryptfs-kthrea]
  125 ?        S<     0:00 [kthrotld]
  126 ?        S<     0:00 [acpi_thermal_pm]
  130 ?        S<     0:00 [ipv6_addrconf]
  131 ?        S      0:01 [kworker/0:2]
  156 ?        S<     0:00 [charger_manager]
  213 ?        S      0:00 [scsi_eh_0]
  215 ?        S<     0:00 [scsi_tmf_0]
  217 ?        S      0:00 [scsi_eh_1]
  218 ?        S<     0:00 [scsi_tmf_1]
  219 ?        S      0:00 [scsi_eh_2]
  220 ?        S<     0:00 [scsi_tmf_2]
  221 ?        S      0:00 [scsi_eh_3]
  222 ?        S<     0:00 [scsi_tmf_3]
  223 ?        S      0:00 [scsi_eh_4]
  224 ?        S<     0:00 [scsi_tmf_4]
  225 ?        S      0:00 [scsi_eh_5]
  226 ?        S<     0:00 [scsi_tmf_5]
  228 ?        S<     0:00 [nvkm-disp]
  229 ?        S      0:00 [i915/signal:0]
  230 ?        S      0:00 [i915/signal:1]
  231 ?        S      0:00 [i915/signal:2]
  232 ?        S      0:00 [i915/signal:4]
